PostalCode,Latitude,Longitude
110006,28.7106,77.2115
180004,32.7625,74.7884
190001,2.4382,-76.6132
180016,32.7155,74.951
180012,32.7155,74.951
180010,32.6572,74.9017
180001,1.6144,-75.6062
181133,32.6617,74.9518
182204,33.1008,75.6497
180015,32.7155,74.951
191103,34.0333,74.9251
184121,33.7018,74.1992
192121,34.0151,74.919
190005,33.89,74.663
180003,32.7625,74.7884
191131,34.1758,74.9148
182145,33.1008,75.6497
173213,30.9451,77.0854
174001,5.4126,-74.9922
175125,31.9045,77.4002
177220,31.4218,76.2314
176122,32.0767541,76.8583252
141001,30.8047,75.8361
140113,31.0247,76.6027
142029,30.8047,75.8361
144021,31.0792,75.6924
141008,30.8047,75.8361
140603,-2.8959,-78.3835
147203,30.6084,76.232
140301,-2.4689,-78.2305
141003,30.8047,75.8361
141010,30.8485,76.141
145001,31.9161,75.2937
160062,30.6763,76.7411
151001,6.3337,-72.6828
160104,-1.5242,-78.002
160026,59.2167,39.9
160001,30.7465,76.7417
160101,-1.4837,-78.0026
249403,29.9035,78.0797
248002,30.2796,78.1467
247661,51.5009,30.5013
248001,30.3213,78.04
263153,28.9891,79.3586
246174,30.2027,78.815
249201,30.1078,78.2925
248160,1.3042,103.82
262401,29.1595,79.1739
249137,30.4985,78.7071
249245,null,null
246429,30.2547,79.1812
262308,29.2988,80.0697
121003,28.4651,77.3329
124507,28.7918,76.8258
134113,30.686,76.9776
125005,29.2151,75.8156
121004,28.1866,77.4449
122413,28.3681,76.9408
122001,28.418,76.9839
121106,28.3327,77.3548
122103,28.3681,76.9408
121002,28.4172,77.393
122002,28.418,76.9839
131001,10.3294,-75.4114
122004,28.4077,76.9836
126102,29.3166,76.293
135001,7.9644,-74.0544
121001,28.3327,77.3548
132103,29.3882,76.9586
110025,28.5672,77.2725
110064,28.6553,77.0657
110020,28.6109,77.214
110078,28.6553,77.0657
110042,28.7581,77.1309
110019,28.5014,77.2274
110028,28.5724,77.0274
110048,28.5614,77.2384
110018,28.6396,77.0884
110034,28.716,77.1429
110017,28.5189,77.2131
110036,28.8127,77.1616
110049,28.5014,77.2274
110092,28.6266,77.2794
110002,28.6109,77.214
110091,28.5957,77.3019
110005,28.6431,77.2197
110041,28.6801,77.0298
110033,28.716,77.1429
110077,28.6553,77.0657
110054,28.6921,77.2245
110076,28.525,77.3062
110007,28.6764,77.2074
110059,28.6553,77.0657
110037,28.5437,77.1282
110074,28.5724,77.0274
110051,28.6292,77.298
110094,28.7688,77.0869
110039,28.7613,77.0628
110075,28.5458,77.0784
110063,28.6553,77.0657
110032,28.6875,77.2856
110024,28.5724,77.2365
110040,28.8408,77.0939
301030,27.4624,76.7173
307019,24.7589,72.7743
302001,26.9196,75.7878
302029,26.8218,75.6987
305023,26.5073,74.7341
302013,27.0261,75.8138
305801,26.732,74.8762
302006,26.9196,75.7878
312021,24.8684,75.724
303301,26.829,75.8259
324005,25.0025,76.1032
313004,24.7078,73.6695
313003,24.6534,73.9448
305001,26.4475,74.6288
301707,28.0575,76.8949
344032,25.923,72.2525
334601,28.2337,73.789
302021,26.9126,75.7441
301001,27.4471,76.53
344001,29.2714,74.549
342012,26.1717,72.924
313001,24.4077,73.7064
344701,26.1911,71.2444
342001,26.2862,72.6351
341318,27.3835,74.4565
334003,28.146,73.2033
342005,26.7508,72.788
342026,26.2896,73.0486
302039,26.966,75.7632
344031,25.7356,71.4733
302003,26.9196,75.7878
344035,25.7356,71.4733
311001,25.519,74.6228
342604,26.4711,73.8019
341001,27.064,74.1879
323614,25.47,75.7775
302004,26.9196,75.7878
334001,28.113,73.0372
311603,25.5178,75.0227
344012,25.7356,71.4733
301026,27.5882,76.9327
342008,26.7508,72.788
344708,25.5606,71.6244
302031,26.9805,75.7243
342303,26.7508,72.788
201301,28.7643,77.4856
201304,28.4014,77.535
203207,28.5459,77.6754
201001,10.4171,-73.5804
201003,28.7238,77.4553
208001,26.4377,79.8586
211003,54.6293,30.8884
247001,52.3507,30.9775
281001,27.3974,78.0142
201305,28.5401,77.4077
226024,26.8717,81.0729
231304,54.2257,25.8557
201306,28.5506,77.4375
273010,5.1767,-76.4802
208002,26.5989,80.2289
226012,26.8416,80.9069
222002,25.818,82.613
208003,26.3891,80.2124
201007,10.4171,-73.5804
272002,26.7691,82.7625
201004,28.7643,77.4856
272201,27.1968,82.9923
244222,28.798,78.4271
208007,26.5989,80.2289
274304,26.8057,83.6937
277202,25.8838,84.2183
221309,25.2772,82.2821
201014,28.6369,77.3562
281004,27.4977,77.6275
207001,27.485,78.8736
272001,26.7927,82.7679
271841,27.7006,81.4946
231001,54.4192,26.548
243302,28.3113,79.277
221202,25.441,82.9663
231210,54.6138,25.9554
271603,27.1428,81.9154
226007,26.7686,81.0295
208021,26.4092,80.3149
231309,53.9031,25.6098
800013,25.6716,85.0646
800001,25.5891,85.1171
851135,25.4253,86.0208
800014,25.6716,85.0646
800002,25.5783,85.1262
800007,25.6078,85.2014
800020,25.5831,85.1358
823001,24.6991,84.936
824101,24.7656,84.3868
851201,25.5441,86.6568
800009,25.5484,85.2649
805110,25.0168,85.6328
845438,26.7621,84.4861
803118,25.2179,85.4768
800004,25.5386,85.2732
824118,24.7944,84.747
800012,25.6481,85.0874
844120,25.9823,85.3037
803101,25.1766,85.5258
803116,25.2208,85.4559
852221,25.792,86.6448
852129,25.9103,86.562
800006,25.5386,85.2732
